Plot BID,PWS TYPE,SEASON,FIELD,SET,ABSR,ABSC,Entry#,COMMENT,IsDeactivated,DeactivationReason,FieldDataSource,PlotNumber,CUSR,DISTANCE,HDIR,HDT,HID,HSIDE,HWT_lbs,Latitude,Longitude,MST,TWT
P00000000879556058658385,YT,2019:10,NEMH:WMH1,NWB_24E04,27,26,91,,F,,SCAN MASTER,,KSTRA9,17.99,D,7/17/2020 5:06:05 PM,US-BR-CO-R2-G-1798,1,4.575,42.146248,-102.928479,9.110,57.645
P00000000879556058658386,YT,2019:10,NEMH:WMH1,NWB_24E04,32,22,96,,F,,SCAN MASTER,,KSTRA9,22.16,U,7/17/2020 5:40:07 PM,US-BR-CO-R2-G-1798,2,5.622,42.146025,-102.928272,9.880,58.888
P00000000879556058658387,YT,2019:10,NEMH:WMH1,NWB_24E04,32,21,92,,F,,SCAN MASTER,,KSTRA9,22.16,U,7/17/2020 5:40:07 PM,US-BR-CO-R2-G-1798,1,5.589,42.146025,-102.928272,11.100,61.530
P00000000879556058659549,YT,2019:10,NEMH:WMH1,NWB_24E05,6,39,1,,F,,SCAN MASTER,,KSTRA9,20.90,D,7/17/2020 6:57:41 PM,US-BR-CO-R2-G-1798,2,7.297,42.147123,-102.929479,11.390,63.705
P00000000879556058659551,YT,2019:10,NEMH:WMH1,NWB_24E05,7,32,2,,F,,SCAN MASTER,,KSTRA9,22.07,U,7/17/2020 7:04:31 PM,US-BR-CO-R2-G-1798,2,5.633,42.147125,-102.929343,9.480,58.966
P00000000879556058659554,YT,2019:10,NEMH:WMH1,NWB_24E05,6,30,13,,F,,SCAN MASTER,,KSTRA9,23.50,U,7/17/2020 6:21:48 PM,US-BR-CO-R2-G-1798,2,6.063,42.147209,-102.929315,10.290,60.520
P00000000879556058659555,YT,2019:10,NEMH:WMH1,NWB_24E05,8,36,14,,F,,SCAN MASTER,,KSTRA9,19.02,D,7/17/2020 8:16:07 PM,US-BR-CO-R2-G-1798,1,6.316,42.147114,-102.929369,9.300,59.432
P00000000879556058659557,YT,2019:10,NEMH:WMH1,NWB_24E05,10,34,15,,F,,SCAN MASTER,,KSTRA9,21.17,U,7/17/2020 7:44:36 PM,US-BR-CO-R2-G-1798,2,5.016,42.146982,-102.929255,7.310,54.771
P00000000879556058659558,YT,2019:10,NEMH:WMH1,NWB_24E05,10,33,16,,F,,SCAN MASTER,,KSTRA9,21.17,U,7/17/2020 7:44:36 PM,US-BR-CO-R2-G-1798,1,5.214,42.146982,-102.929255,6.340,55.237
P00000000879556058659559,YT,2019:10,NEMH:WMH1,NWB_24E05,5,32,4,,F,,SCAN MASTER,,KSTRA9,21.54,U,7/17/2020 7:03:31 PM,US-BR-CO-R2-G-1798,2,5.952,42.147225,-102.929413,14.550,55.237
P00000000879556058659561,YT,2019:10,NEMH:WMH1,NWB_24E05,10,36,17,,F,,SCAN MASTER,,KSTRA9,20.39,D,7/17/2020 8:15:05 PM,US-BR-CO-R2-G-1798,1,5.666,42.147017,-102.929298,9.030,59.044
P00000000879556058659562,YT,2019:10,NEMH:WMH1,NWB_24E05,10,30,6,,F,,SCAN MASTER,,KSTRA9,22.09,U,7/17/2020 6:23:49 PM,US-BR-CO-R2-G-1798,2,5.093,42.147018,-102.929168,8.750,58.034
P00000000879556058659563,YT,2019:10,NEMH:WMH1,NWB_24E05,4,39,18,,F,,SCAN MASTER,,KSTRA9,19.76,D,7/17/2020 6:58:41 PM,US-BR-CO-R2-G-1798,2,7.110,42.147219,-102.929551,11.230,62.928
P00000000879556058659564,YT,2019:10,NEMH:WMH1,NWB_24E05,9,30,7,,F,,SCAN MASTER,,KSTRA9,18.37,U,7/17/2020 6:23:21 PM,US-BR-CO-R2-G-1798,2,5.004,42.147070,-102.929208,9.810,58.888
P00000000879556058659565,YT,2019:10,NEMH:WMH1,NWB_24E05,4,32,19,,F,,SCAN MASTER,,KSTRA9,17.04,U,7/17/2020 7:02:59 PM,US-BR-CO-R2-G-1798,2,7.430,42.147277,-102.929451,10.610,62.073
P00000000879556058659567,YT,2019:10,NEMH:WMH1,NWB_24E05,6,38,20,,F,,SCAN MASTER,,KSTRA9,20.91,D,7/17/2020 7:36:16 PM,US-BR-CO-R2-G-1798,1,6.812,42.147154,-102.929433,10.870,58.888
P00000000879556058659568,YT,2019:10,NEMH:WMH1,NWB_24E05,7,34,21,,F,,SCAN MASTER,,KSTRA9,17.39,U,7/17/2020 7:43:05 PM,US-BR-CO-R2-G-1798,2,6.548,42.147131,-102.929365,10.300,60.830
P00000000879556058659569,YT,2019:10,NEMH:WMH1,NWB_24E05,10,39,9,,F,,SCAN MASTER,,KSTRA9,22.46,D,7/17/2020 6:55:35 PM,US-BR-CO-R2-G-1798,2,6.316,42.146928,-102.929338,11.190,60.753
P00000000879556058659570,YT,2019:10,NEMH:WMH1,NWB_24E05,3,30,22,,F,,SCAN MASTER,,KSTRA9,111.87,U,7/17/2020 6:18:51 PM,US-BR-CO-R2-G-1798,2,6.206,42.147241,-102.929048,12.050,59.354
P00000000879556058659571,YT,2019:10,NEMH:WMH1,NWB_24E05,7,33,10,,F,,SCAN MASTER,,KSTRA9,17.39,U,7/17/2020 7:43:05 PM,US-BR-CO-R2-G-1798,1,6.019,42.147131,-102.929365,9.480,59.510
P00000000879556058659572,YT,2019:10,NEMH:WMH1,NWB_24E05,10,37,11,,F,,SCAN MASTER,,KSTRA9,20.38,D,7/17/2020 7:34:16 PM,US-BR-CO-R2-G-1798,2,5.798,42.146958,-102.929298,9.880,58.810
P00000000879556058659573,YT,2019:10,NEMH:WMH1,NWB_24E05,4,40,12,,F,,SCAN MASTER,,KSTRA9,19.76,D,7/17/2020 6:58:41 PM,US-BR-CO-R2-G-1798,1,7.650,42.147219,-102.929551,12.440,61.141
P00000000879556058659574,YT,2019:10,NEMH:WMH1,NWB_24E05,8,39,23,,F,,SCAN MASTER,,KSTRA9,21.09,D,7/17/2020 6:56:38 PM,US-BR-CO-R2-G-1798,2,6.923,42.147028,-102.929402,12.950,58.888
P00000000879556058659575,YT,2019:10,NEMH:WMH1,NWB_24E05,6,33,24,,F,,SCAN MASTER,,KSTRA9,20.57,U,7/17/2020 7:42:32 PM,US-BR-CO-R2-G-1798,1,6.548,42.147173,-102.929399,8.980,58.810
P00000000879556058659576,YT,2019:10,NEMH:WMH1,NWB_24E05,9,31,28,,F,,SCAN MASTER,,KSTRA9,20.54,U,7/17/2020 7:05:30 PM,US-BR-CO-R2-G-1798,1,4.762,42.147030,-102.929274,6.260,54.227
P00000000879556058659577,YT,2019:10,NEMH:WMH1,NWB_24E05,9,37,25,,F,,SCAN MASTER,,KSTRA9,17.24,D,7/17/2020 7:34:46 PM,US-BR-CO-R2-G-1798,2,5.049,42.147000,-102.929329,11.630,49.721
P00000000879556058659578,YT,2019:10,NEMH:WMH1,NWB_24E05,9,36,30,,F,,SCAN MASTER,,KSTRA9,21.14,D,7/17/2020 8:15:37 PM,US-BR-CO-R2-G-1798,1,5.776,42.147067,-102.929339,9.330,58.267
P00000000879556058659579,YT,2019:10,NEMH:WMH1,NWB_24E05,3,37,26,,F,,SCAN MASTER,,KSTRA9,19.29,D,7/17/2020 7:37:52 PM,US-BR-CO-R2-G-1798,2,6.702,42.147296,-102.929550,14.910,60.442
P00000000879556058659580,YT,2019:10,NEMH:WMH1,NWB_24E05,5,35,27,,F,,SCAN MASTER,,KSTRA9,22.35,D,7/17/2020 8:17:41 PM,US-BR-CO-R2-G-1798,2,7.848,42.147261,-102.929482,11.310,62.306
P00000000879556058659583,YT,2019:10,NEMH:WMH1,NWB_24E05,4,38,34,,F,,SCAN MASTER,,KSTRA9,21.63,D,7/17/2020 7:37:20 PM,US-BR-CO-R2-G-1798,1,6.967,42.147252,-102.929512,11.960,60.053
P00000000879556058659584,YT,2019:10,NEMH:WMH1,NWB_24E05,7,29,31,,F,,SCAN MASTER,,KSTRA9,20.37,U,7/17/2020 6:22:19 PM,US-BR-CO-R2-G-1798,1,5.357,42.147163,-102.929274,6.130,53.683
P00000000879556058659585,YT,2019:10,NEMH:WMH1,NWB_24E05,6,40,36,,F,,SCAN MASTER,,KSTRA9,20.90,D,7/17/2020 6:57:41 PM,US-BR-CO-R2-G-1798,1,7.000,42.147123,-102.929479,10.730,61.530
P00000000879556058659586,YT,2019:10,NEMH:WMH1,NWB_24E05,9,40,33,,F,,SCAN MASTER,,KSTRA9,18.89,D,7/17/2020 6:56:06 PM,US-BR-CO-R2-G-1798,1,6.614,42.146975,-102.929369,7.100,55.159
P00000000879556058659587,YT,2019:10,NEMH:WMH1,NWB_24E05,4,36,38,,F,,SCAN MASTER,,KSTRA9,17.06,D,7/17/2020 8:18:14 PM,US-BR-CO-R2-G-1798,1,6.559,42.147303,-102.929514,9.120,57.801
P00000000879556058659588,YT,2019:10,NEMH:WMH1,NWB_24E05,3,32,35,,F,,SCAN MASTER,,KSTRA9,20.89,U,7/17/2020 7:01:47 PM,US-BR-CO-R2-G-1798,2,6.845,42.147368,-102.929518,15.360,61.685
P00000000879556058659589,YT,2019:10,NEMH:WMH1,NWB_24E05,6,31,39,,F,,SCAN MASTER,,KSTRA9,19.51,U,7/17/2020 7:04:01 PM,US-BR-CO-R2-G-1798,1,6.096,42.147180,-102.929375,9.140,55.703
P00000000879556058659590,YT,2019:10,NEMH:WMH1,NWB_24E05,10,32,37,,F,,SCAN MASTER,,KSTRA9,20.15,U,7/17/2020 7:06:01 PM,US-BR-CO-R2-G-1798,2,4.442,42.146980,-102.929239,6.210,52.052
P00000000879556058659591,YT,2019:10,NEMH:WMH1,NWB_24E05,7,35,40,,F,,SCAN MASTER,,KSTRA9,18.98,D,7/17/2020 8:16:40 PM,US-BR-CO-R2-G-1798,2,7.308,42.147161,-102.929403,9.890,60.364
P00000000879556058659592,YT,2019:10,NEMH:WMH1,NWB_24E05,3,31,41,,F,,SCAN MASTER,,KSTRA9,20.89,U,7/17/2020 7:01:47 PM,US-BR-CO-R2-G-1798,1,6.669,42.147368,-102.929518,11.680,60.053
P00000000879556058659593,YT,2019:10,NEMH:WMH1,NWB_24E05,10,31,42,,F,,SCAN MASTER,,KSTRA9,20.15,U,7/17/2020 7:06:01 PM,US-BR-CO-R2-G-1798,1,4.630,42.146980,-102.929239,7.410,57.490
P00000000879556058659594,YT,2019:10,NEMH:WMH1,NWB_24E05,3,39,53,,F,,SCAN MASTER,,KSTRA9,19.21,D,7/17/2020 6:59:13 PM,US-BR-CO-R2-G-1798,2,6.382,42.147260,-102.929596,14.120,55.004
P00000000879556058659595,YT,2019:10,NEMH:WMH1,NWB_24E05,10,35,43,,F,,SCAN MASTER,,KSTRA9,20.39,D,7/17/2020 8:15:05 PM,US-BR-CO-R2-G-1798,2,4.398,42.147017,-102.929298,6.070,50.809
P00000000879556058659596,YT,2019:10,NEMH:WMH1,NWB_24E05,3,40,54,,F,,SCAN MASTER,,KSTRA9,19.21,D,7/17/2020 6:59:13 PM,US-BR-CO-R2-G-1798,1,7.319,42.147260,-102.929596,11.090,59.121
P00000000879556058659597,YT,2019:10,NEMH:WMH1,NWB_24E05,4,35,44,,F,,SCAN MASTER,,KSTRA9,17.06,D,7/17/2020 8:18:14 PM,US-BR-CO-R2-G-1798,2,7.055,42.147303,-102.929514,11.590,62.928
P00000000879556058659598,YT,2019:10,NEMH:WMH1,NWB_24E05,5,30,55,,F,,SCAN MASTER,,KSTRA9,20.42,U,7/17/2020 6:21:20 PM,US-BR-CO-R2-G-1798,2,6.316,42.147266,-102.929358,9.710,59.199
P00000000879556058659599,YT,2019:10,NEMH:WMH1,NWB_24E05,7,31,45,,F,,SCAN MASTER,,KSTRA9,22.07,U,7/17/2020 7:04:31 PM,US-BR-CO-R2-G-1798,1,4.971,42.147125,-102.929343,7.090,55.548
P00000000879556058659600,YT,2019:10,NEMH:WMH1,NWB_24E05,6,36,46,,F,,SCAN MASTER,,KSTRA9,21.00,D,7/17/2020 8:17:12 PM,US-BR-CO-R2-G-1798,1,6.482,42.147209,-102.929447,9.780,57.567
P00000000879556058659601,YT,2019:10,NEMH:WMH1,NWB_24E05,8,30,56,,F,,SCAN MASTER,,KSTRA9,20.01,U,7/17/2020 6:22:50 PM,US-BR-CO-R2-G-1798,2,6.118,42.147113,-102.929245,10.460,58.189
P00000000879556058659602,YT,2019:10,NEMH:WMH1,NWB_24E05,9,35,47,,F,,SCAN MASTER,,KSTRA9,21.14,D,7/17/2020 8:15:37 PM,US-BR-CO-R2-G-1798,2,6.900,42.147067,-102.929339,11.020,61.607
P00000000879556058659603,YT,2019:10,NEMH:WMH1,NWB_24E05,5,38,57,,F,,SCAN MASTER,,KSTRA9,19.91,D,7/17/2020 7:36:49 PM,US-BR-CO-R2-G-1798,1,6.746,42.147200,-102.929468,9.780,58.655
P00000000879556058659604,YT,2019:10,NEMH:WMH1,NWB_24E05,6,34,48,,F,,SCAN MASTER,,KSTRA9,20.57,U,7/17/2020 7:42:32 PM,US-BR-CO-R2-G-1798,2,6.845,42.147173,-102.929399,11.830,61.918
P00000000879556058659605,YT,2019:10,NEMH:WMH1,NWB_24E05,4,37,58,,F,,SCAN MASTER,,KSTRA9,21.63,D,7/17/2020 7:37:20 PM,US-BR-CO-R2-G-1798,2,7.551,42.147252,-102.929512,18.290,55.470
P00000000879556058659606,YT,2019:10,NEMH:WMH1,NWB_24E05,6,37,49,,F,,SCAN MASTER,,KSTRA9,20.91,D,7/17/2020 7:36:16 PM,US-BR-CO-R2-G-1798,2,6.967,42.147154,-102.929433,11.060,62.151
P00000000879556058659607,YT,2019:10,NEMH:WMH1,NWB_24E05,8,35,59,,F,,SCAN MASTER,,KSTRA9,19.02,D,7/17/2020 8:16:07 PM,US-BR-CO-R2-G-1798,2,6.878,42.147114,-102.929369,11.190,62.617
P00000000879556058659608,YT,2019:10,NEMH:WMH1,NWB_24E05,7,37,50,,F,,SCAN MASTER,,KSTRA9,21.23,D,7/17/2020 7:35:45 PM,US-BR-CO-R2-G-1798,2,6.305,42.147100,-102.929406,11.190,61.840
P00000000879556058659609,YT,2019:10,NEMH:WMH1,NWB_24E05,9,32,60,,F,,SCAN MASTER,,KSTRA9,20.54,U,7/17/2020 7:05:30 PM,US-BR-CO-R2-G-1798,2,5.170,42.147030,-102.929274,9.440,58.189
P00000000879556058659610,YT,2019:10,NEMH:WMH1,NWB_24E05,8,32,51,,F,,SCAN MASTER,,KSTRA9,18.85,U,7/17/2020 7:04:59 PM,US-BR-CO-R2-G-1798,2,5.975,42.147080,-102.929307,8.360,58.111
P00000000879556058659611,YT,2019:10,NEMH:WMH1,NWB_24E05,5,33,61,,F,,SCAN MASTER,,KSTRA9,21.76,U,7/17/2020 7:41:19 PM,US-BR-CO-R2-G-1798,1,7.187,42.147273,-102.929475,11.730,58.655
P00000000879556058659612,YT,2019:10,NEMH:WMH1,NWB_24E05,10,29,52,,F,,SCAN MASTER,,KSTRA9,22.09,U,7/17/2020 6:23:49 PM,US-BR-CO-R2-G-1798,1,5.203,42.147018,-102.929168,9.680,59.121
P00000000879556058659613,YT,2019:10,NEMH:WMH1,NWB_24E05,8,40,62,,F,,SCAN MASTER,,KSTRA9,21.09,D,7/17/2020 6:56:38 PM,US-BR-CO-R2-G-1798,1,7.209,42.147028,-102.929402,13.270,54.848
P00000000879556058659614,YT,2019:10,NEMH:WMH1,NWB_24E05,4,29,63,,F,,SCAN MASTER,,KSTRA9,18.28,U,7/17/2020 6:20:49 PM,US-BR-CO-R2-G-1798,1,6.867,42.147313,-102.929396,14.730,50.109
P00000000879556058659615,YT,2019:10,NEMH:WMH1,NWB_24E05,9,38,73,,F,,SCAN MASTER,,KSTRA9,17.24,D,7/17/2020 7:34:46 PM,US-BR-CO-R2-G-1798,1,5.897,42.147000,-102.929329,15.160,51.119
P00000000879556058659616,YT,2019:10,NEMH:WMH1,NWB_24E05,6,29,64,,F,,SCAN MASTER,,KSTRA9,23.50,U,7/17/2020 6:21:48 PM,US-BR-CO-R2-G-1798,1,5.975,42.147209,-102.929315,7.990,56.014
P00000000879556058659617,YT,2019:10,NEMH:WMH1,NWB_24E05,5,29,65,,F,,SCAN MASTER,,KSTRA9,20.42,U,7/17/2020 6:21:20 PM,US-BR-CO-R2-G-1798,1,5.302,42.147266,-102.929358,9.380,49.255
P00000000879556058659618,YT,2019:10,NEMH:WMH1,NWB_24E05,8,33,74,,F,,SCAN MASTER,,KSTRA9,21.22,U,7/17/2020 7:43:36 PM,US-BR-CO-R2-G-1798,1,6.526,42.147080,-102.929327,7.990,57.567
P00000000879556058659619,YT,2019:10,NEMH:WMH1,NWB_24E05,6,35,66,,F,,SCAN MASTER,,KSTRA9,21.00,D,7/17/2020 8:17:12 PM,US-BR-CO-R2-G-1798,2,6.482,42.147209,-102.929447,11.770,61.219
P00000000879556058659620,YT,2019:10,NEMH:WMH1,NWB_24E05,10,40,75,,F,,SCAN MASTER,,KSTRA9,22.46,D,7/17/2020 6:55:35 PM,US-BR-CO-R2-G-1798,1,6.911,42.146928,-102.929338,7.350,55.470
P00000000879556058659622,YT,2019:10,NEMH:WMH1,NWB_24E05,7,30,76,,F,,SCAN MASTER,,KSTRA9,20.37,U,7/17/2020 6:22:19 PM,US-BR-CO-R2-G-1798,2,5.545,42.147163,-102.929274,7.970,56.791
P00000000879556058659623,YT,2019:10,NEMH:WMH1,NWB_24E05,8,38,68,,F,,SCAN MASTER,,KSTRA9,20.98,D,7/17/2020 7:35:14 PM,US-BR-CO-R2-G-1798,1,6.934,42.147047,-102.929373,10.670,58.189
P00000000879556058659624,YT,2019:10,NEMH:WMH1,NWB_24E05,5,40,77,,F,,SCAN MASTER,,KSTRA9,20.02,D,7/17/2020 6:58:12 PM,US-BR-CO-R2-G-1798,1,5.699,42.147174,-102.929508,11.310,53.605
P00000000879556058659625,YT,2019:10,NEMH:WMH1,NWB_24E05,5,36,69,,F,,SCAN MASTER,,KSTRA9,22.35,D,7/17/2020 8:17:41 PM,US-BR-CO-R2-G-1798,1,7.055,42.147261,-102.929482,10.500,57.645
P00000000879556058659626,YT,2019:10,NEMH:WMH1,NWB_24E05,7,38,78,,F,,SCAN MASTER,,KSTRA9,21.23,D,7/17/2020 7:35:45 PM,US-BR-CO-R2-G-1798,1,6.471,42.147100,-102.929406,8.480,54.848
P00000000879556058659627,YT,2019:10,NEMH:WMH1,NWB_24E05,7,36,70,,F,,SCAN MASTER,,KSTRA9,18.98,D,7/17/2020 8:16:40 PM,US-BR-CO-R2-G-1798,1,7.033,42.147161,-102.929403,11.660,63.394
P00000000879556058659628,YT,2019:10,NEMH:WMH1,NWB_24E05,7,39,79,,F,,SCAN MASTER,,KSTRA9,19.93,D,7/17/2020 6:57:08 PM,US-BR-CO-R2-G-1798,2,6.889,42.147071,-102.929445,11.420,62.229
P00000000879556058659629,YT,2019:10,NEMH:WMH1,NWB_24E05,9,33,80,,F,,SCAN MASTER,,KSTRA9,19.52,U,7/17/2020 7:44:07 PM,US-BR-CO-R2-G-1798,1,5.258,42.147033,-102.929293,6.150,53.916
P00000000879556058659630,YT,2019:10,NEMH:WMH1,NWB_24E05,7,40,71,,F,,SCAN MASTER,,KSTRA9,19.93,D,7/17/2020 6:57:08 PM,US-BR-CO-R2-G-1798,1,5.997,42.147071,-102.929445,7.720,56.791
P00000000879556058659631,YT,2019:10,NEMH:WMH1,NWB_24E05,10,38,72,,F,,SCAN MASTER,,KSTRA9,20.38,D,7/17/2020 7:34:16 PM,US-BR-CO-R2-G-1798,1,5.434,42.146958,-102.929298,7.380,56.324
P00000000879556058659632,YT,2019:10,NEMH:WMH1,NWB_24E05,3,38,81,,F,,SCAN MASTER,,KSTRA9,19.29,D,7/17/2020 7:37:52 PM,US-BR-CO-R2-G-1798,1,7.044,42.147296,-102.929550,11.120,54.227
P00000000879556058659633,YT,2019:10,NEMH:WMH1,NWB_24E05,6,32,82,,F,,SCAN MASTER,,KSTRA9,19.51,U,7/17/2020 7:04:01 PM,US-BR-CO-R2-G-1798,2,6.504,42.147180,-102.929375,11.200,62.617
P00000000879556058659634,YT,2019:10,NEMH:WMH1,NWB_24E05,8,34,83,,F,,SCAN MASTER,,KSTRA9,21.22,U,7/17/2020 7:43:36 PM,US-BR-CO-R2-G-1798,2,6.382,42.147080,-102.929327,11.460,63.239
P00000000879556058659635,YT,2019:10,NEMH:WMH1,NWB_24E05,5,39,84,,F,,SCAN MASTER,,KSTRA9,20.02,D,7/17/2020 6:58:12 PM,US-BR-CO-R2-G-1798,2,7.562,42.147174,-102.929508,12.440,60.520
P00000000879556058659636,YT,2019:10,NEMH:WMH1,NWB_24E05,4,31,85,,F,,SCAN MASTER,,KSTRA9,17.04,U,7/17/2020 7:02:59 PM,US-BR-CO-R2-G-1798,1,7.452,42.147277,-102.929451,11.910,58.966
P00000000879556058659637,YT,2019:10,NEMH:WMH1,NWB_24E05,8,37,86,,F,,SCAN MASTER,,KSTRA9,20.98,D,7/17/2020 7:35:14 PM,US-BR-CO-R2-G-1798,2,7.088,42.147047,-102.929373,14.210,59.277
P00000000879556058659638,YT,2019:10,NEMH:WMH1,NWB_24E05,5,34,87,,F,,SCAN MASTER,,KSTRA9,21.76,U,7/17/2020 7:41:19 PM,US-BR-CO-R2-G-1798,2,6.945,42.147273,-102.929475,11.060,60.908
P00000000879556058659639,YT,2019:10,NEMH:WMH1,NWB_24E05,9,34,88,,F,,SCAN MASTER,,KSTRA9,19.52,U,7/17/2020 7:44:07 PM,US-BR-CO-R2-G-1798,2,5.049,42.147033,-102.929293,9.100,53.061
P00000000879556058659640,YT,2019:10,NEMH:WMH1,NWB_24E05,9,39,89,,F,,SCAN MASTER,,KSTRA9,18.89,D,7/17/2020 6:56:06 PM,US-BR-CO-R2-G-1798,2,7.419,42.146975,-102.929369,11.650,63.938
P00000000879556058659641,YT,2019:10,NEMH:WMH1,NWB_24E05,8,29,90,,F,,SCAN MASTER,,KSTRA9,20.01,U,7/17/2020 6:22:50 PM,US-BR-CO-R2-G-1798,1,5.534,42.147113,-102.929245,7.620,56.635
P00000000879556058659642,YT,2019:10,NEMH:WMH1,NWB_24E05,5,37,91,,F,,SCAN MASTER,,KSTRA9,19.91,D,7/17/2020 7:36:49 PM,US-BR-CO-R2-G-1798,2,5.567,42.147200,-102.929468,12.300,61.452
P00000000879556058659643,YT,2019:10,NEMH:WMH1,NWB_24E05,9,29,92,,F,,SCAN MASTER,,KSTRA9,18.37,U,7/17/2020 6:23:21 PM,US-BR-CO-R2-G-1798,1,4.112,42.147070,-102.929208,7.900,54.538
P00000000879556058659645,YT,2019:10,NEMH:WMH1,NWB_24E05,8,31,93,,F,,SCAN MASTER,,KSTRA9,18.85,U,7/17/2020 7:04:59 PM,US-BR-CO-R2-G-1798,1,5.434,42.147080,-102.929307,6.270,55.159
P00000000879556058659647,YT,2019:10,NEMH:WMH1,NWB_24E05,3,29,94,,F,,SCAN MASTER,,KSTRA9,111.87,U,7/17/2020 6:18:51 PM,US-BR-CO-R2-G-1798,1,6.327,42.147241,-102.929048,9.100,59.743
P00000000879556058659649,YT,2019:10,NEMH:WMH1,NWB_24E05,4,30,95,,F,,SCAN MASTER,,KSTRA9,18.28,U,7/17/2020 6:20:49 PM,US-BR-CO-R2-G-1798,2,7.352,42.147313,-102.929396,17.130,58.344
P00000000879556058659651,YT,2019:10,NEMH:WMH1,NWB_24E05,5,31,96,,F,,SCAN MASTER,,KSTRA9,21.54,U,7/17/2020 7:03:31 PM,US-BR-CO-R2-G-1798,1,6.404,42.147225,-102.929413,9.680,59.820
P00000000879556058866527,YT,2019:10,NEMH:WMH1,NWB_24E03,19,21,1,,F,,SCAN MASTER,,KSTRA9,17.64,U,7/17/2020 5:31:20 PM,US-BR-CO-R2-G-1798,1,4.189,42.146660,-102.928746,7.830,55.625
P00000000879556058866528,YT,2019:10,NEMH:WMH1,NWB_24E03,19,18,2,,F,,SCAN MASTER,,KSTRA9,20.05,U,7/17/2020 3:48:27 PM,US-BR-CO-R2-G-1798,2,4.751,42.146671,-102.928679,10.960,59.199
P00000000879556058866529,YT,2019:10,NEMH:WMH1,NWB_24E03,22,19,3,,F,,SCAN MASTER,,KSTRA9,19.07,U,7/17/2020 4:33:17 PM,US-BR-CO-R2-G-1798,1,4.619,42.146530,-102.928595,10.280,59.121
P00000000879556058866530,YT,2019:10,NEMH:WMH1,NWB_24E03,26,18,4,,F,,SCAN MASTER,,KSTRA9,19.97,U,7/17/2020 3:51:50 PM,US-BR-CO-R2-G-1798,2,4.057,42.146343,-102.928420,10.190,58.733
P00000000879556058866531,YT,2019:10,NEMH:WMH1,NWB_24E03,23,25,5,,F,,SCAN MASTER,,KSTRA9,17.51,D,7/17/2020 5:08:01 PM,US-BR-CO-R2-G-1798,2,4.299,42.146435,-102.928630,9.820,58.267
P00000000879556058866532,YT,2019:10,NEMH:WMH1,NWB_24E03,21,17,6,,F,,SCAN MASTER,,KSTRA9,21.11,U,7/17/2020 3:49:24 PM,US-BR-CO-R2-G-1798,1,4.420,42.146573,-102.928599,7.970,55.781
P00000000879556058866533,YT,2019:10,NEMH:WMH1,NWB_24E03,26,17,7,,F,,SCAN MASTER,,KSTRA9,19.97,U,7/17/2020 3:51:50 PM,US-BR-CO-R2-G-1798,1,4.156,42.146343,-102.928420,9.590,57.412
P00000000879556058866534,YT,2019:10,NEMH:WMH1,NWB_24E03,25,25,8,,F,,SCAN MASTER,,KSTRA9,17.16,D,7/17/2020 5:07:05 PM,US-BR-CO-R2-G-1798,2,5.423,42.146346,-102.928539,9.760,58.810
P00000000879556058866535,YT,2019:10,NEMH:WMH1,NWB_24E03,19,28,9,,F,,SCAN MASTER,,KSTRA9,20.82,D,7/17/2020 4:15:16 PM,US-BR-CO-R2-G-1798,1,3.891,42.146600,-102.928821,11.250,59.587
P00000000879556058866536,YT,2019:10,NEMH:WMH1,NWB_24E03,19,22,10,,F,,SCAN MASTER,,KSTRA9,17.64,U,7/17/2020 5:31:20 PM,US-BR-CO-R2-G-1798,2,4.244,42.146660,-102.928746,9.870,58.034
P00000000879556058866537,YT,2019:10,NEMH:WMH1,NWB_24E03,20,27,11,,F,,SCAN MASTER,,KSTRA9,18.10,D,7/17/2020 4:14:46 PM,US-BR-CO-R2-G-1798,2,4.575,42.146551,-102.928782,11.120,60.442
P00000000879556058866538,YT,2019:10,NEMH:WMH1,NWB_24E03,20,23,12,,F,,SCAN MASTER,,KSTRA9,20.74,D,7/17/2020 5:53:33 PM,US-BR-CO-R2-G-1798,2,4.442,42.146593,-102.928677,8.370,55.625
P00000000879556058866539,YT,2019:10,NEMH:WMH1,NWB_24E03,23,17,13,,F,,SCAN MASTER,,KSTRA9,20.66,U,7/17/2020 3:50:24 PM,US-BR-CO-R2-G-1798,1,4.850,42.146486,-102.928521,8.590,56.635
P00000000879556058866540,YT,2019:10,NEMH:WMH1,NWB_24E03,26,27,14,,F,,SCAN MASTER,,KSTRA9,20.95,D,7/17/2020 4:11:49 PM,US-BR-CO-R2-G-1798,2,6.217,42.146278,-102.928554,11.450,61.063
P00000000879556058866541,YT,2019:10,NEMH:WMH1,NWB_24E03,21,23,15,,F,,SCAN MASTER,,KSTRA9,18.80,D,7/17/2020 5:53:06 PM,US-BR-CO-R2-G-1798,2,5.258,42.146543,-102.928642,8.750,56.791
P00000000879556058866542,YT,2019:10,NEMH:WMH1,NWB_24E03,23,20,16,,F,,SCAN MASTER,,KSTRA9,20.67,U,7/17/2020 4:33:44 PM,US-BR-CO-R2-G-1798,2,1.653,42.146481,-102.928561,0.000,0.000
P00000000879556058866543,YT,2019:10,NEMH:WMH1,NWB_24E03,22,22,17,,F,,SCAN MASTER,,KSTRA9,18.77,U,7/17/2020 5:32:44 PM,US-BR-CO-R2-G-1798,2,4.343,42.146515,-102.928632,9.820,58.189
